"session_id","title","cumulative_duration"
159,"Stardew Valley","75"
160,"Stardew Valley","120"
161,"Stardew Valley","150"
162,"Stardew Valley","255"
163,"Stardew Valley","285"
164,"Stardew Valley","345"
165,"Stardew Valley","435"
166,"Stardew Valley","480"
167,"Stardew Valley","510"
168,"Stardew Valley","540"
169,"Stardew Valley","570"
170,"Stardew Valley","600"
171,"Stardew Valley","630"
172,"Stardew Valley","675"
173,"Stardew Valley","720"
174,"Stardew Valley","750"
175,"Stardew Valley","780"
176,"Stardew Valley","810"
177,"Stardew Valley","855"
178,"Stardew Valley","885"
179,"Stardew Valley","915"
182,"Stardew Valley","960"
186,"Stardew Valley","1005"
188,"Stardew Valley","1035"
190,"Stardew Valley","1065"
250,"Stardew Valley","1125"
251,"Stardew Valley","1140"
253,"Stardew Valley","1155"
254,"Stardew Valley","1170"
255,"Stardew Valley","1245"
257,"Stardew Valley","1275"
258,"Stardew Valley","1305"
259,"Stardew Valley","1350"
260,"Stardew Valley","1395"
261,"Stardew Valley","1410"
265,"Stardew Valley","1440"
267,"Stardew Valley","1455"
270,"Stardew Valley","1470"
273,"Stardew Valley","1485"
274,"Stardew Valley","1500"
275,"Stardew Valley","1515"
277,"Stardew Valley","1545"
278,"Stardew Valley","1575"
279,"Stardew Valley","1590"
280,"Stardew Valley","1620"
281,"Stardew Valley","1650"
282,"Stardew Valley","1665"
283,"Stardew Valley","1680"
284,"Stardew Valley","1710"
285,"Stardew Valley","1740"
286,"Stardew Valley","1785"
287,"Stardew Valley","1800"
288,"Stardew Valley","1830"
289,"Stardew Valley","1845"
290,"Stardew Valley","1860"
295,"Stardew Valley","1875"
298,"Stardew Valley","2025"
606,"Stardew Valley","2040"
1008,"Stardew Valley","2100"
221,"Legend of Zelda: Breath of the Wild","15"
223,"Legend of Zelda: Breath of the Wild","60"
224,"Legend of Zelda: Breath of the Wild","75"
225,"Legend of Zelda: Breath of the Wild","120"
226,"Legend of Zelda: Breath of the Wild","165"
228,"Legend of Zelda: Breath of the Wild","210"
230,"Legend of Zelda: Breath of the Wild","255"
231,"Legend of Zelda: Breath of the Wild","315"
233,"Legend of Zelda: Breath of the Wild","330"
234,"Legend of Zelda: Breath of the Wild","360"
235,"Legend of Zelda: Breath of the Wild","375"
46,"Mario Kart 8","60"
601,"Mario Kart 8","120"
608,"Mario Kart 8","165"
621,"Mario Kart 8","180"
693,"Mario Kart 8","210"
721,"Mario Kart 8","270"
731,"Mario Kart 8","360"
748,"Mario Kart 8","450"
759,"Mario Kart 8","540"
763,"Mario Kart 8","600"
784,"Mario Kart 8","630"
809,"Mario Kart 8","690"
1046,"Mario Kart 8","750"
1160,"Mario Kart 8","780"
1981,"Mario Kart 8","840"
2081,"Mario Kart 8","900"
2254,"Mario Kart 8","930"
2504,"Mario Kart 8","1005"
2582,"Mario Kart 8","1065"
2593,"Mario Kart 8","1125"
2598,"Mario Kart 8","1185"
2607,"Mario Kart 8","1215"
2699,"Mario Kart 8","1245"
2787,"Mario Kart 8","1290"
1588,"Overcooked","90"
2814,"Overcooked","150"
3046,"Overcooked","240"
87,"Sea of Thieves","150"
123,"Sea of Thieves","300"
495,"Sea of Thieves","390"
730,"Sea of Thieves","480"
739,"Sea of Thieves","570"
755,"Sea of Thieves","660"
779,"Sea of Thieves","780"
781,"Sea of Thieves","900"
826,"Sea of Thieves","990"
836,"Sea of Thieves","1140"
1102,"Sea of Thieves","1335"
1483,"Sea of Thieves","1410"
1540,"Sea of Thieves","1590"
1564,"Sea of Thieves","1770"
1607,"Sea of Thieves","1890"
1616,"Sea of Thieves","2055"
1651,"Sea of Thieves","2175"
1678,"Sea of Thieves","2295"
1691,"Sea of Thieves","2475"
1,"Dead Cells","60"
17,"Dead Cells","90"
1104,"Dead Cells","135"
75,"Beat Saber","45"
133,"Beat Saber","75"
1274,"Beat Saber","90"
1277,"Beat Saber","120"
1310,"Beat Saber","180"
1316,"Beat Saber","225"
1604,"Beat Saber","240"
370,"State of Decay 2","60"
1230,"State of Decay 2","150"
1681,"No Mans Sky","60"
14,"Overcooked 2","90"
